comic_id,creator_id
41530,4430
58530,4430
59352,12765
59352,11347
59352,4600
59352,12785
56205,12464
56205,12376
56205,12465
55506,12376
55506,10090
55506,12494
59621,11809
59621,12376
59621,12771
58986,12839
58986,12790
58986,12840
58986,12339
58986,8822
58680,24
58680,2133
58680,10288
58680,11610
58680,360
58687,665
58687,12480
58687,4300
58687,12371
55313,1141
55313,4300
55313,63
55313,626
59626,12815
59626,10023
59626,11737
59626,789
56565,1004
56565,2133
56565,11434
57786,12456
57786,12832
57786,12483
57786,12816
58222,12807
58222,12806
58222,12456
58222,12808
58686,665
58686,12480
58686,4300
58686,12371
57866,2133
57866,12551
57866,11434
56057,10023
56057,11737
56057,425
56057,1248
58651,935
58651,1156
58651,12444
58651,8822
55402,8901
55402,11757
55402,8822
57298,1082
57298,11921
57298,12444
56187,12426
56187,942
56187,11530
56187,11921
55364,9018
55364,2133
55364,63
55364,119
58409,12823
58409,12341
58409,8847
52564,12831
52564,665
52564,4300
52564,12288
55699,24
55699,4300
55699,9408
52111,12794
52111,12393
52111,8822
52869,4300
52869,101
52869,12371
56204,12464
56204,12376
56204,12465
55443,11737
55443,10759
55443,72
55423,11463
55423,232
55423,4300
58985,11953
58985,12790
58985,11952
58985,8822
58997,322
58997,12759
58997,8822
59016,182
59016,2338
59016,12816
56610,954
56610,4300
56610,708
56222,2133
56222,11680
56222,10144
56222,1156
56564,2133
56564,11434
56564,4544
58766,12456
58766,12709
58766,12711
57954,12820
57954,11921
57954,12711
56872,10023
56872,12298
56872,12474
56872,11921
59351,12765
59351,11347
59351,4600
59351,12785
56496,648
56496,4300
56496,12781
56089,16
56089,536
56089,4600
59666,4430
55795,11463
55795,12449
55795,12376
57333,9799
57333,12452
57333,12457
57333,11488
57147,12297
57147,4300
57147,12444
59481,1107
59481,412
59481,12388
59481,11921
59481,12444
55543,24
55543,2133
55543,25
58679,24
58679,2133
58679,11610
52868,4300
52868,12371
52868,234
55312,1141
55312,4300
55312,626
59625,12815
59625,10023
59625,11737
56078,10936
56078,11680
56078,942
56078,8822
56415,8658
56415,12472
56415,1133
56415,4300
55648,12716
55648,4300
55648,12444
57068,12787
57068,12376
57068,12786
55341,12376
55341,9286
55341,11434
56056,10023
56056,11737
56056,1248
57048,12457
57048,72
57048,9432
57048,12489
55378,8221
55378,11921
55378,119
55769,11463
55769,243
55769,8822
57103,750
57103,1340
57103,12341
57103,12136
47114,24
47114,25
47114,4430
57384,12803
57384,12376
57384,575
55746,820
55746,12456
55746,262
55746,1340
55746,12822
56589,11841
56589,11575
56589,12791
56589,12792
56239,87
56239,11901
56239,11737
57297,1082
57297,11921
57297,12444
59612,1107
59612,1040
59612,12456
59612,12817
57607,10023
57607,9394
57607,8822
56034,644
56034,12456
56034,805
56034,12435
55685,11306
55685,4300
55685,12399
59420,2133
59420,12174
59420,12369
57236,2133
57236,8814
57236,12390
55662,95
55662,2133
55662,626
57988,5160
57988,12371
57988,8822
59602,735
