,ID,full_name,first_apperance,description,image
0,1011334,3-D Man,21366,null,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784/portrait_incredible.jpg
1,1017100,A-Bomb (HAS),null,Rick Jones has been Hulks best bud since day one but now hes more than a friend...hes a teammate Transformed by a Gamma energy explosion ABombs thick armored skin is just as strong and powerful as it is blue. And when he curls into action he uses it like a giant bowling ball of destruction ,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16/portrait_incredible.jpg
2,1009144,A.I.M.,36763,AIM is a terrorist organization bent on destroying the world.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec/portrait_incredible.jpg
3,1010699,Aaron Stack,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
4,1009146,Abomination (Emil Blonsky),17547,Formerly known as Emil Blonsky a spy of Soviet Yugoslavian origin working for the KGB the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04/portrait_incredible.jpg
5,1016823,Abomination (Ultimate),15717,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
6,1009148,Absorbing Man,36481,null,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7/portrait_incredible.jpg
7,1009149,Abyss,13943,null,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64/portrait_incredible.jpg
8,1010903,Abyss (Age of Apocalypse),null,null,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548/portrait_incredible.jpg
9,1011266,Adam Destine,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
10,1010354,Adam Warlock,17271,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860/portrait_incredible.jpg
11,1010846,Aegis (Trey Rollins),null,null,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d/portrait_incredible.jpg
12,1011297,Agent Brand,5477,null,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e/portrait_incredible.jpg
13,1011031,Agent X (Nijo),17702,Originally a partner of the mindaltering assassin Black Swan Nijo spied on Deadpool as part of the Swans plan to exact revenge for Deadpool falsely taking credit for the Swans assassination of the Four Winds crime family which included Nijos brother.,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
14,1009150,Agent Zero,3357,null,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790/portrait_incredible.jpg
15,1011198,Agents of Atlas,6318,null,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5/portrait_incredible.jpg
16,1011175,Aginar,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
17,1011136,Air-Walker (Gabriel Lan),5589,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
18,1011176,Ajak,null,null,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215/portrait_incredible.jpg
19,1010870,Ajaxis,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a/portrait_incredible.jpg
20,1011194,Akemi,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
21,1011170,Alain,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
22,1009240,Albert Cleary,null,null,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
