id,title,issueNumber,issue_date,series_title,series_id,print_price
615,District X (2004) #4,4,2004-08-11T00:00:00-0400,District X (2004 - 2005),733,2.99
27729,"Nick Fury, Agent of Shield (1989) #27",27,1991-09-10T00:00:00-0400,"Nick Fury, Agent of Shield (1989 - 1992)",8852,1.5
8356,Daredevil (1963) #354,354,1996-07-10T00:00:00-0400,Daredevil (1963 - 1998),2002,1.5
31527,Invincible Iron Man (2008) #500,500,2011-01-19T00:00:00-0500,Invincible Iron Man (2008 - 2012),4889,4.99
27522,Wolverine & Gambit: Victims (1995) #4,4,1964-01-01T00:00:00-0500,Wolverine & Gambit: Victims (1995),8804,0
14762,"Peter Parker, the Spectacular Spider-Man (1976) #60",60,1981-11-10T00:00:00-0500,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0.5
9113,Incredible Hulk (1962) #302,302,1984-12-10T00:00:00-0500,Incredible Hulk (1962 - 1999),2021,0.6
48230,WOLVERINE MAX VOL. 3: VEGAS TPB (Trade Paperback),0,2014-03-19T00:00:00-0400,WOLVERINE MAX VOL. 3: VEGAS TPB (2014),18263,16.99
10605,The Punisher: War Zone (1992) #16,16,-0001-11-30T00:00:00-0500,The Punisher: War Zone (1992 - 1995),2065,0
29280,Deadpool: Wade Wilson's War (2010) #3,3,2010-08-04T00:00:00-0400,Deadpool: Wade Wilson's War (2010),9889,3.99
28789,Ghost Riders: Heaven's on Fire (Trade Paperback),0,2010-03-10T00:00:00-0500,Ghost Riders: Heaven's on Fire (2010 - Present),9255,16.99
255,Ultimates (2002) #12,12,2003-10-29T00:00:00-0500,Ultimates (2002 - 2003),664,2.25
6137,New Avengers Vol. 4: The Collective (Trade Paperback),0,2007-03-21T00:00:00-0400,New Avengers Vol. 4: The Collective (2007),1888,9.99
46138,Guardians of the Galaxy (2013) #1 (Manara Variant),1,2013-03-27T00:00:00-0400,Guardians of the Galaxy (2013 - Present),16410,3.99
50783,DISNEY KINGDOMS: SEEKERS OF THE WEIRD (2014) #1 (Del Mundo 2nd Printing Variant),1,2014-02-26T00:00:00-0500,DISNEY KINGDOMS: SEEKERS OF THE WEIRD (2014 - Present),18678,3.99
2467,New Thunderbolts (2004) #12,12,2005-09-14T00:00:00-0400,New Thunderbolts (2004 - 2006),788,2.99
35501,Amazing Spider-Man (1999) #663,663,2011-06-01T00:00:00-0400,Amazing Spider-Man (1999 - 2013),454,3.99
667,Punisher (2004) #6,6,2004-05-26T00:00:00-0400,Punisher (2004 - 2008),698,2.99
26784,The Many Loves of the Amazing Spider-Man (2010) #1,1,2010-05-05T00:00:00-0400,The Many Loves of the Amazing Spider-Man (2010),8476,3.99
2825,Ororo: Before the Storm (2005) #4,4,2005-09-07T00:00:00-0400,Ororo: Before the Storm (2005),921,2.99
14691,"Peter Parker, the Spectacular Spider-Man (1976) #233",233,1996-04-10T00:00:00-0400,"Peter Parker, the Spectacular Spider-Man (1976 - 1998)",2271,0
17617,Ultimates 3 (2007) #2 (TURNER VARIANT),2,2008-01-23T00:00:00-0500,Ultimates 3 (2007 - 2008),3188,2.99
29499,X-Factor: Invinsible Woman Has Vanished (Hardcover),0,2010-05-19T00:00:00-0400,X-Factor: Invinsible Woman Has Vanished (2010),9662,19.99
37069,Thunderbolts (2006) #145 (2ND PRINTING VARIANT),145,2010-08-04T00:00:00-0400,Thunderbolts (2006 - 2012),18527,2.99
31574,Guardians of the Galaxy (2008) #23,23,2010-02-17T00:00:00-0500,Guardians of the Galaxy (2008 - 2010),4885,2.99
36669,Fantastic Four (1998) #583 (SHS VARIANT),583,2010-09-22T00:00:00-0400,Fantastic Four (1998 - 2012),421,2.99
9030,Incredible Hulk (1962) #219,219,1978-01-10T00:00:00-0500,Incredible Hulk (1962 - 1999),2021,0.35
22192,Punisher War Journal (1988) #37,37,1991-12-10T00:00:00-0500,Punisher War Journal (1988 - 1995),5860,0
48407,Cataclysm: Ultimate Comics Spider-Man (2013) #2,2,2013-12-11T00:00:00-0500,Cataclysm: Ultimate Comics Spider-Man (2013 - Present),18325,3.99
27933,Marvel Spotlight (2005) #48 (BOOKS-A-MILLION VARIANT),48,2009-10-28T00:00:00-0400,Marvel Spotlight (2005 - 2011),1012,0
47241,X-Men (2013) #1 (Deadpool Variant),1,2013-05-29T00:00:00-0400,X-Men (2013 - Present),17635,3.99
46750,Wolverine: Sabretooth Reborn (Hardcover),0,2013-06-05T00:00:00-0400,Wolverine: Sabretooth Reborn (2013),17623,39.99
15445,Marvel Super-Heroes (1967) #34,34,1973-01-10T00:00:00-0500,Marvel Super-Heroes (1967 - 1982),2300,0.2
