comic_id,creator_id
12729,1887
12729,3411
12729,96
12729,966
12729,435
12729,1863
12729,1832
12252,3886
12252,375
12252,1759
12252,939
12252,2363
12252,1300
12252,184
12252,5125
7172,2258
7172,1894
7172,2043
7172,1612
7172,259
7172,527
7172,5125
12042,3524
12042,9565
12042,1833
12042,1519
12042,2082
12042,2069
12042,1819
12042,1164
20583,1836
20583,1326
20583,1223
20583,46
20583,180
20583,1315
20583,5044
20583,1827
20583,44
20583,215
20583,3886
20583,375
20583,958
20583,1872
20583,1899
20583,791
20583,1759
13141,104
13141,5764
13141,658
13141,1282
13141,2053
13141,1240
13141,1884
13141,1056
7729,180
7729,5764
7729,259
7729,1282
7729,435
7729,2028
7729,1832
10764,3912
10764,4858
10764,9565
10764,1178
10764,30
10764,2256
22173,1881
22173,96
22173,1863
15286,1212
15286,32
15286,1162
15286,1933
15286,958
15286,2654
19817,6613
19817,6614
19817,1232
19817,214
19817,1240
19817,293
19817,6616
19817,2076
19817,523
19817,435
19817,5125
17919,104
17919,2076
17919,1286
17919,435
17919,1894
17919,1819
17919,2036
11726,9565
11726,5764
11726,305
11726,435
11726,1282
11726,1056
11726,2364
8610,3632
8610,44
8610,16
8610,1162
8610,262
8610,1872
14137,1612
14137,44
14137,375
14137,570
14137,1872
14137,791
14137,26
6715,75
6715,2784
6715,1819
6715,1833
6715,1832
13779,44
13779,3886
13779,375
13779,1326
13779,1872
13779,791
13779,5044
10152,1212
10152,46
10152,570
10152,3850
10152,44
10152,144
10152,223
10152,3632
10152,1892
10152,7843
10152,1894
10152,1612
10152,32
10152,1301
10152,959
10152,1162
10152,1247
10152,1872
10152,2363
13778,1836
13778,44
13778,3886
13778,375
13778,1252
13778,1872
13778,791
15285,1212
15285,1420
15285,32
15285,1297
15285,958
15285,1162
15285,1933
15285,2654
11004,1827
11004,2697
11004,9565
11004,3550
11004,1286
11004,3556
11004,180
11004,1819
11004,3551
11004,2364
11004,2036
17918,1909
17918,4857
17918,4858
17918,5412
17918,1286
17918,1901
17918,1894
11725,1251
11725,305
11725,9565
11725,958
11725,5764
11725,260
11725,1282
11725,1933
11725,1899
22162,1881
22162,96
22162,3030
22162,1863
14592,105
14592,954
14592,9565
14592,2296
14592,1833
14592,1819
14592,1832
6714,75
6714,2784
6714,1819
6714,1833
6714,1832
8252,1282
8252,215
8252,214
8252,1759
8252,1899
8252,397
20480,1935
20480,2655
20480,5823
20480,1887
20480,259
20480,1286
20480,261
20480,641
9479,2697
9479,1247
15150,2047
15150,1871
15150,104
15150,658
15150,939
15150,2654
9160,1836
9160,8125
9160,2133
9160,5075
9160,121
9160,1250
9160,1759
9160,2363
20168,2983
20168,1275
20168,1887
20168,9565
20168,1863
20168,2078
20168,3233
20168,1832
12728,1887
12728,96
12728,966
12728,3412
12728,1863
12728,435
12728,1832
12251,3886
12251,375
12251,1759
12251,2363
12251,184
12251,5125
12251,2030
7171,1935
7171,1612
7171,259
7171,1894
7171,527
7171,5125
12041,121
12041,9565
12041,2296
12041,1833
12041,1819
12041,1164
12041,2082
12041,2364
13140,104
13140,5764
13140,1282
13140,1267
13140,2053
13140,1240
13140,1056
10409,1277
10409,9565
10409,375
10409,1872
10409,1759
10409,184
10409,397
20582,1865
20582,791
20582,1836
20582,1223
20582,46
20582,180
20582,1827
20582,44
20582,215
20582,3886
20582,375
20582,958
20582,1872
7728,180
7728,5764
7728,259
7728,1282
7728,435
7728,2028
7728,1832
8599,44
8599,16
8599,1162
8599,262
8599,1872
8599,791
14036,1612
14036,1827
14036,44
14036,375
14036,1872
14036,791
14036,397
6713,75
6713,2784
6713,1819
6713,1833
6713,1832
10130,1612
10130,1301
10130,435
10130,959
10130,1281
10130,44
10130,144
10130,223
10130,46
10130,2297
10130,1235
10130,1892
10130,7843
10130,1894
10130,791
10130,570
10130,1162
10130,3882
10130,1872
10130,2363
13777,44
13777,3886
13777,375
13777,1326
13777,791
13777,1759
13777,2363
13777,5044
20479,1935
20479,5823
20479,1887
20479,259
20479,1286
20479,261
9478,2697
9478,1247
15149,2047
15149,1871
15149,104
15149,658
15149,939
15149,2654
17940,1172
17940,2261
17940,2076
17940,2470
17940,104
17940,259
17940,658
17940,435
17940,2700
17940,1894
17940,2259
17940,5237
9159,121
9159,2297
9159,2947
9159,375
9159,1250
9159,1759
9159,2363
12727,1887
12727,3411
12727,966
12727,1863
12727,1832
12250,3886
12250,375
12250,1759
12250,2363
12250,184
12250,5125
12250,2030
7170,1935
7170,1612
7170,259
7170,1894
7170,527
7170,5125
12040,121
12040,9565
12040,1833
12040,2069
12040,1819
12040,1164
12040,2082
19816,3166
19816,44
19816,215
19816,6598
19816,20
19816,3744
19816,6610
19816,6611
19816,435
19816,399
19816,1056
10119,1612
10119,1301
10119,959
10119,44
10119,144
10119,223
10119,46
10119,570
10119,1235
10119,1892
10119,399
10119,1894
10119,791
10119,1162
10119,435
10119,1872
10119,2363
10119,2364
7727,180
7727,5764
7727,259
7727,1282
7727,435
7727,2028
7727,1832
10408,1277
10408,1871
10408,9565
10408,375
10408,1872
10408,184
6712,75
6712,2784
6712,1819
6712,1833
6712,1832
8250,2069
8250,1282
8250,215
8250,214
8250,1759
8250,397
20581,1836
20581,1223
20581,1394
20581,180
20581,5909
20581,1827
20581,44
20581,3886
20581,375
20581,958
20581,1872
20581,5237
20581,791
15284,9565
15284,958
15284,32
15284,2697
15284,1247
15284,1162
15284,1933
15284,2654
22109,1836
22109,3233
22109,1871
22109,1887
22109,1909
22109,1832
22109,2983
22109,704
22109,1926
22109,2078
22109,1315
22109,1863
13138,104
13138,5764
13138,1282
13138,1267
13138,2053
13138,1240
13138,1056
17917,1935
17917,104
17917,2076
17917,1286
17917,435
17917,1894
11724,1251
11724,305
11724,9565
11724,958
11724,5764
11724,260
11724,1282
11724,1899
11724,1056
13776,44
13776,3886
13776,375
13776,1252
13776,1872
13776,791
13776,1235
14591,105
14591,954
14591,9565
14591,2296
14591,1833
14591,1819
14591,1832
8562,44
8562,16
8562,1162
8562,215
8562,262
8562,1872
8562,791
43041,1279
10108,1612
10108,1301
10108,959
10108,44
10108,144
10108,435
10108,223
10108,46
10108,570
10108,2030
10108,1162
10108,3639
10108,399
10108,791
10108,1872
10108,2363
10108,2364
10108,214
13775,44
13775,3886
13775,375
13775,1326
13775,939
13775,1872
13775,791
13775,5044
6711,75
6711,2784
6711,1819
6711,1833
6711,2364
10097,1612
10097,1301
10097,959
10097,44
10097,144
10097,435
10097,223
10097,46
10097,570
10097,1284
10097,1162
10097,3639
10097,399
10097,791
10097,1872
10097,2363
10097,2364
10097,1164
10010,1612
10010,1301
10010,959
10010,44
10010,144
10010,435
10010,223
10010,46
10010,570
10010,1284
10010,1162
10010,1961
10010,3639
10010,399
10010,791
10010,1872
10010,2363
10010,2364
10010,5125
20580,1836
20580,1223
20580,46
20580,180
20580,5909
20580,1827
20580,44
20580,215
20580,1746
20580,1892
20580,791
20580,3886
20580,375
20580,958
22108,1836
22108,3233
22108,1871
22108,1887
22108,2983
22108,5124
22108,1275
22108,2078
22108,1863
22108,1832
13137,104
13137,5764
13137,1282
13137,1267
13137,2053
13137,1240
13137,1056
17916,1935
17916,104
17916,2076
17916,1286
17916,435
17916,1894
11723,1251
11723,9565
11723,958
11723,5764
11723,1282
11723,1056
11723,2364
6710,75
6710,2784
6710,1819
6710,939
6710,1833
6710,1832
14590,105
14590,954
14590,9565
14590,1833
14590,1819
14590,1832
15282,9565
15282,958
15282,32
15282,2697
15282,1162
15282,1286
15282,1933
15282,2654
20478,1935
20478,5823
20478,1887
20478,259
20478,1286
20478,261
9477,1887
9477,2697
9477,1247
9477,2784
9477,1832
15148,2047
15148,1871
15148,104
15148,658
15148,939
15148,2654
9158,121
9158,2947
9158,375
9158,1250
9158,1759
9158,2363
12726,1887
12726,96
12726,966
12726,3412
12726,1863
12726,435
12726,1832
12249,9565
12249,184
12249,3886
12249,375
12249,1299
12249,1759
12249,2363
7169,1935
7169,1612
7169,259
7169,1894
7169,527
7169,5125
11003,1827
11003,3555
11003,9565
11003,3550
11003,1286
11003,3556
11003,2261
11003,1901
11003,768
11003,2700
11003,1819
11003,3553
11003,2259
11003,3551
11003,2364
11003,2036
12039,121
12039,9565
12039,1833
12039,2069
12039,1819
12039,214
12039,2082
12039,1164
13774,44
13774,3886
13774,375
13774,1326
13774,1872
13774,791
13774,5044
7726,180
7726,5764
7726,259
7726,1282
7726,435
7726,2028
7726,1832
10407,1277
10407,1871
10407,9565
10407,375
10407,1872
10407,184
32961,665
32961,8640
32961,7894
30123,1430
30123,295
30123,4983
28917,9344
28917,436
28917,481
28917,1129
