ID,title,issueNumber,date,series_title,series_ID,price,,,,,,
42882,Lorna the Jungle Girl (1954) #6,6,2054-03-01T00:00:00-0500,Lorna the Jungle Girl (1954 - 1957),16355,0,,,,,,
41530,Ant-Man: So (Trade Paperback),0,2020-12-31T00:00:00-0500,Ant-Man: So (2011 - Present),15481,19.99,,,,,,
58530,Miracleman by Gaiman & Buckingham: The Silver Age (2016) #2,2,2016-09-28T00:00:00-0400,Miracleman by Gaiman & Buckingham: The Silver Age (2016 - Present),21367,4.99,,,,,,
59352,Moon Girl and Devil Dinosaur (2015) #9,9,2016-07-27T00:00:00-0400,Moon Girl and Devil Dinosaur (2015 - Present),20839,3.99,,,,,,
56205,The Unbeatable Squirrel Girl (2015) #10,10,2016-07-27T00:00:00-0400,The Unbeatable Squirrel Girl (2015 - Present),20620,3.99,,,,,,
55506,Howard the Duck (2015) #9,9,2016-07-06T00:00:00-0400,Howard the Duck (2015 - Present),20471,3.99,,,,,,
59621,Civil War II: Kingpin (2016) #1,1,2016-07-06T00:00:00-0400,Civil War II: Kingpin (2016 - Present),21695,4.99,,,,,,
58986,Deadpool Vs. Gambit (2016) #2,2,2016-07-06T00:00:00-0400,Deadpool Vs. Gambit (2016 - Present),21488,3.99,,,,,,
58680,Civil War II (2016) (2016) #3,3,2016-07-06T00:00:00-0400,Civil War II (2016) (2016 - Present),21417,4.99,,,,,,
58687,Daredevil/Punisher (2016) #3,3,2016-07-06T00:00:00-0400,Daredevil/Punisher (2016 - Present),21420,4.99,,,,,,
55313,Amazing Spider-Man (2015) #15,15,2016-07-06T00:00:00-0400,Amazing Spider-Man (2015 - Present),20432,3.99,,,,,,
59626,Civil War II: X-Men (2016) #2,2,2016-07-06T00:00:00-0400,Civil War II: X-Men (2016 - Present),21696,3.99,,,,,,
56565,Captain America: Sam Wilson (2015) #11,11,2016-07-06T00:00:00-0400,Captain America: Sam Wilson (2015 - Present),20711,3.99,,,,,,
57786,Hyperion (2016) #4,4,2016-06-29T00:00:00-0400,Hyperion (2016 - Present),21034,3.99,,,,,,
58222,Mockingbird (2016) #4,4,2016-06-29T00:00:00-0400,Mockingbird (2016 - Present),21245,3.99,,,,,,
58686,Daredevil/Punisher (2016) #2,2,2016-06-29T00:00:00-0400,Daredevil/Punisher (2016 - Present),21420,4.99,,,,,,
