ID,status,sex, real_name, current_alias, image
1011149,Neutral,Woman, Tana Nile , Tana Nile,http://i.annihil.us/u/prod/marvel/i/mg/6/40/4c002f68816cd/portrait_incredible.jpg
1010713,Neutral,Man, Luis Alvarez ,Tarantula,http://vignette4.wikia.nocookie.net/marveldatabase/images/8/80/Luis_Alvarez_%28Earth-616%29_002.jpg
1009647,Neutral,Man, Marie-Ange Colbert ,Tarot,http://vignette1.wikia.nocookie.net/marveldatabase/images/c/c5/Marie-Ange_Colbert_%28Earth-616%29_from_New_Mutants_Vol_3_7.png
1009648,Villains,Man, Tony Masters  ,Taskmaster,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/526957dc0c27f/portrait_incredible.jpg
1011115,Neutral,Man, Tudo Sokuto ,Tattoo,http://vignette3.wikia.nocookie.net/marveldatabase/images/0/0a/Tattoo_%28Tektos%29_0001.jpg
1009650,Neutral,Man, Grannz ,Flashfire,http://vignette3.wikia.nocookie.net/marveldatabase/images/8/8b/Grannz_%28Earth-616%29_from_All-New_X-Men_Vol_1_24.png
1011162,Villains,Man, Tenebrous , Tenebrous,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c002f3b92276/portrait_incredible.jpg
1009651,Villains,Man, Tyros ,Terrax the Tamer,http://vignette2.wikia.nocookie.net/marveldatabase/images/c/ca/Terrax_the_Tamer_001.jpg
1010819,Heroes,Man, Drew Daniels ,Texas Twister,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/4c0035e44d390/portrait_incredible.jpg
1011003,Neutral,Man, Thaddeus E. Thunderbolt Ross ,Gen. Thunderbolt Ross,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1009652,Villains,Man, Thanos , Thanos,http://i.annihil.us/u/prod/marvel/i/mg/6/40/5274137e3e2cd/portrait_incredible.jpg
1010714,Neutral,Man,Unknown ,The Captain,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/portrait_incredible.jpg
1010699,Neutral,Man, Aaron Stack (Legal name); Z2P45-9-X-51 (Model number) ,Machine Man,http://vignette1.wikia.nocookie.net/marveldatabase/images/d/d0/X-51_%28Earth-616%29_from_Red_She-Hulk_Vol_1_59.jpg
1009146,Villains,Man, Emil Blonsky ,Abomination,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04/portrait_incredible.jpg
1009148,Villains,Man, Carl Creel ,Absorbing Man,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7/portrait_incredible.jpg
1009149,Villains,Man, Nils Styger ,Abyss,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64/portrait_incredible.jpg
1011266,Heroes,Man, Adam Destine ,Adam,http://vignette3.wikia.nocookie.net/marveldatabase/images/a/a5/Adam_Destine_%28Earth-616%29_0001.jpg
1010354,Heroes,Man, Adam Warlock , Adam Warlock,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860/portrait_incredible.jpg
1010846,Heroes,Man, Trey Jason Rollins ,Aegis,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d/portrait_incredible.jpg
1011297,Neutral,Man, Abigail (last name unrevealed) ,Lt. Commander Abigail Brand,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e/portrait_incredible.jpg
1011031,Heroes,Man, Nijo (last name unknown) ,Agent X,http://vignette1.wikia.nocookie.net/marveldatabase/images/d/d3/Nijo_%28Earth-616%29_from_All-New_Official_Handbook_of_the_Marvel_Universe_Vol_1_1.jpg
1009150,Heroes,Man, Christoph Christopher Nord ,Maverick,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790/portrait_incredible.jpg
1011175,Heroes,Man, Aginar ,Aginar,http://vignette2.wikia.nocookie.net/marveldatabase/images/f/f7/Aginar_%28Earth-616%29.jpg
1011136,Heroes,Man, Gabriel Lan ,Air-Walker,http://vignette4.wikia.nocookie.net/marveldatabase/images/4/49/Gabriel_Lan_%28Earth-616%29.gif
1011176,Heroes,Man, Ajak , Ajak,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215/portrait_incredible.jpg
1010870,Heroes,Man, Ajaxis , Ajaxis,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a/portrait_incredible.jpg
1009240,Neutral,Man, Albert Cleary , Albert Cleary,http://vignette1.wikia.nocookie.net/marveldatabase/images/1/1d/Albert_Cleary_%28Earth-616%29.jpg
1011120,Heroes,Man, Peter Hunter ,Albion,http://vignette4.wikia.nocookie.net/marveldatabase/images/2/23/Peter_Hunter_%28Earth-616%29.gif
1010836,Neutral,Man, Alexander Alex Power , Alexander Alex Power,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82/portrait_incredible.jpg
1010755,Villains,Man, Alex Wilder , Alex Wilder,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a/portrait_incredible.jpg
