character,ability_type
762 (Legion Personality) (Earth-616),Acid_Generation
Acidroid (Earth-616),Acid_Generation
Angel Salvadore (Earth-616),Acid_Generation
Axel Cluney (Earth-616),Acid_Generation
Brian Kornfield (Earth-616),Acid_Generation
Burning Puddle (Earth-616),Acid_Generation
Carl Shuffler (Earth-616),Acid_Generation
Cell (Earth-616),Acid_Generation
Chameleon (Artificial Mutant) (Earth-616),Acid_Generation
Christoph Nord (Earth-616),Acid_Generation
Cybelle (Earth-616),Acid_Generation
Daniel Silva (Earth-616),Acid_Generation
Eimin Worthington (Earth-616),Acid_Generation
Fin Fang Foom (Earth-616),Acid_Generation
Freak (Vagrant) (Earth-616),Acid_Generation
Hellverine (Earth-616),Acid_Generation
James Natale (Earth-616),Acid_Generation
Leslie Gesneria (Earth-616),Acid_Generation
Leyla (Earth-616),Acid_Generation
Lord Deathstrike (Earth-616),Acid_Generation
Martin Zantz (Earth-616),Acid_Generation
Maximus Jensen (Earth-616),Acid_Generation
Mortimer Toynbee (Earth-616),Acid_Generation
Namorita Prentiss (Earth-616),Acid_Generation
Pukatus Jr. (Legion Personality) (Earth-616),Acid_Generation
Richard Deacon (Earth-616),Acid_Generation
Scott Washington (Earth-616),Acid_Generation
Theodore Sallis (Earth-616),Acid_Generation
Tike Alicar (Earth-616),Acid_Generation
115 (Legion Personality) (Earth-616),Acoustikinesis
Adriana Soria (Earth-616),Acoustikinesis
Ahmet Abdol (Earth-616),Acoustikinesis
Ahura Boltagon (Earth-616),Acoustikinesis
Alisa Tager (Earth-616),Acoustikinesis
Alison Blaire (Earth-616),Acoustikinesis
Auran (Earth-616),Acoustikinesis
Banshee (North Korean Mutate) (Earth-616),Acoustikinesis
Blackagar Boltagon (Earth-616),Acoustikinesis
Blackagar Boltagon (Skrull) (Earth-616),Acoustikinesis
Charles Weiderman (Earth-616),Acoustikinesis
Clement Wilson (Earth-616),Acoustikinesis
Clown (Legion Personality) (Earth-616),Acoustikinesis
Colin McKay (Earth-616),Acoustikinesis
Daisy Johnson (Earth-616),Acoustikinesis
David Angar (Earth-616),Acoustikinesis
David Haller (Earth-616),Acoustikinesis
Dinah Soar (Earth-616),Acoustikinesis
Donna Diego (Earth-616),Acoustikinesis
Dynamic Man (Earth-616),Acoustikinesis
Frances Barrison (Earth-616),Acoustikinesis
Griffin Gogol (Earth-616),Acoustikinesis
Gustav Krueger (Earth-616),Acoustikinesis
Harley Davis (Earth-616),Acoustikinesis
Hooud (Earth-616),Acoustikinesis
Ian McNee (Earth-616),Acoustikinesis
Inhumans (Skrull) (Earth-616),Acoustikinesis
Jason Cragg (Earth-616),Acoustikinesis
Jeb Lee (Earth-616),Acoustikinesis
Jonothon Starsmore (Earth-616),Acoustikinesis
Joshua Guthrie (Earth-616),Acoustikinesis
Julio Mendoza (Earth-616),Acoustikinesis
Lani Ubanu (Earth-616),Acoustikinesis
Lillie McGurty (Earth-616),Acoustikinesis
Linda Lewis (Zombie Clone) (Earth-616),Acoustikinesis
Magnitude (Earth-616),Acoustikinesis
Mark Sheppard (Earth-616),Acoustikinesis
Melissa Gold (Earth-616),Acoustikinesis
Pedro de Noli (Earth-616),Acoustikinesis
Phillip Urich (Earth-616),Acoustikinesis
Rachel Argosy (Earth-616),Acoustikinesis
Raoul Hernandez (Earth-616),Acoustikinesis
Reeva Payge (Earth-616),Acoustikinesis
Riot (Heavy Mettle) (Earth-616),Acoustikinesis
Roger Norvell (Earth-616),Acoustikinesis
Sean Cassidy (Earth-616),Acoustikinesis
Sofia Mantega (Earth-616),Acoustikinesis
Temugin (Earth-616),Acoustikinesis
Theresa Cassidy (Earth-616),Acoustikinesis
Tremolo (Earth-616),Acoustikinesis
Ulysses Klaw (Earth-616),Acoustikinesis
White Noise (Earth-616),Acoustikinesis
William Williams (Earth-616),Acoustikinesis
Aaron Nicholson (Earth-616),Adaptation
Armando Muñoz (Earth-616),Adaptation
Dimitrios (Earth-616),Adaptation
Endgame (Legion Personality) (Earth-616),Adaptation
Freak (Vagrant) (Earth-616),Adaptation
Gabriel Summers (Earth-616),Adaptation
Heather Cameron (Earth-616),Adaptation
Holocaust (Earth-616),Adaptation
Hydra Prime 001 (Earth-616),Adaptation
Karima Shapandar (Earth-616),Adaptation
Lunatik (Mercenary) (Earth-616),Adaptation
Marshall Stone III (Earth-616),Adaptation
Meggan Puceanu (Earth-616),Adaptation
Rafael Carago (Earth-616),Adaptation
Teon Macik (Earth-616),Adaptation
Unspoken (Earth-616),Adaptation
X-51 (Earth-616),Adaptation
"""Spider-Girl"" (Mutant/Spider Clone) (Earth-616)",Adhesive
14 (Earth-616),Adhesive
Mortimer Toynbee (Earth-616),Adhesive
Peter Petruski (Earth-616),Adhesive
Snot (Earth-616),Adhesive
Tar Baby (Earth-616),Adhesive
Thursday Rubinstein (Earth-616),Adhesive
Zzxz (Klyntar) (Earth-616),Adhesive
762 (Legion Personality) (Earth-616),Acid_Generation
Acidroid (Earth-616),Acid_Generation
Angel Salvadore (Earth-616),Acid_Generation
Axel Cluney (Earth-616),Acid_Generation
Brian Kornfield (Earth-616),Acid_Generation
Burning Puddle (Earth-616),Acid_Generation
Carl Shuffler (Earth-616),Acid_Generation
Cell (Earth-616),Acid_Generation
Chameleon (Artificial Mutant) (Earth-616),Acid_Generation
Christoph Nord (Earth-616),Acid_Generation
Cybelle (Earth-616),Acid_Generation
Daniel Silva (Earth-616),Acid_Generation
Eimin Worthington (Earth-616),Acid_Generation
Fin Fang Foom (Earth-616),Acid_Generation
Freak (Vagrant) (Earth-616),Acid_Generation
Hellverine (Earth-616),Acid_Generation
James Natale (Earth-616),Acid_Generation
Leslie Gesneria (Earth-616),Acid_Generation
Leyla (Earth-616),Acid_Generation
