character,ability_type
762 (Legion Personality) (Earth-616),Acid_Generation
Acid Queen (Earth-148611),Acid_Generation
Acidroid (Earth-616),Acid_Generation
Angel Salvadore (Earth-10005),Acid_Generation
Angel Salvadore (Earth-616),Acid_Generation
Axel Cluney (Earth-616),Acid_Generation
Brian Kornfield (Earth-616),Acid_Generation
Burning Puddle (Earth-616),Acid_Generation
Carl Shuffler (Earth-616),Acid_Generation
Cell (Earth-616),Acid_Generation
Chameleon (Artificial Mutant) (Earth-616),Acid_Generation
Christoph Nord (Earth-5700),Acid_Generation
Christoph Nord (Earth-616),Acid_Generation
Cybelle (Earth-11052),Acid_Generation
Cybelle (Earth-616),Acid_Generation
Daniel Silva (Earth-616),Acid_Generation
Dennis Cuzinski (Earth-148611),Acid_Generation
Dennis Cuzinski (Earth-15731),Acid_Generation
Eimin Worthington (Earth-616),Acid_Generation
Fin Fang Foom (Earth-30847),Acid_Generation
Fin Fang Foom (Earth-33900),Acid_Generation
Fin Fang Foom (Earth-616),Acid_Generation
Freak (Vagrant) (Earth-616),Acid_Generation
Hellverine (Earth-616),Acid_Generation
James Natale (Earth-616),Acid_Generation
Keith Kilham (Earth-50701),Acid_Generation
Kirk Sallis (Earth-9602),Acid_Generation
Kron Stone (Earth-928),Acid_Generation
Kron Stone (Earth-96099),Acid_Generation
Leslie Gesneria (Earth-616),Acid_Generation
Leyla (Earth-616),Acid_Generation
Lord Deathstrike (Earth-616),Acid_Generation
Martin Zantz (Earth-616),Acid_Generation
Maximus Jensen (Earth-616),Acid_Generation
Mortimer Toynbee (Earth-616),Acid_Generation
Namorita Prentiss (Earth-616),Acid_Generation
Peter Parker (Scorpion) (Earth-1610),Acid_Generation
Pukatus Jr. (Legion Personality) (Earth-616),Acid_Generation
Richard Deacon (Earth-616),Acid_Generation
Scorpion (Earth-TRN376),Acid_Generation
Scott Washington (Earth-616),Acid_Generation
Theodore Sallis (Earth-616),Acid_Generation
Theodore Sallis (Earth-92131),Acid_Generation
Theodore Sallis (Earth-BW20D),Acid_Generation
Theodore Sallis (Earth-TRN173),Acid_Generation
Tike Alicar (Earth-616),Acid_Generation
Venom (Symbiote) (Earth-928),Acid_Generation
Victor Van Damme (Earth-1610),Acid_Generation
115 (Legion Personality) (Earth-616),Acoustikinesis
Adriana Soria (Earth-616),Acoustikinesis
Adriana Soria (Earth-BW07),Acoustikinesis
Ahmet Abdol (Earth-616),Acoustikinesis
Ahura Boltagon (Earth-616),Acoustikinesis
Ahura Boltagon (Earth-9997),Acoustikinesis
Alisa Tager (Earth-616),Acoustikinesis
Alison Blaire (Earth-21050),Acoustikinesis
Alison Blaire (Earth-616),Acoustikinesis
Alison Blaire (Earth-80920),Acoustikinesis
Alison Blaire (Earth-9112),Acoustikinesis
Alison Blaire (Earth-913),Acoustikinesis
Alison Blaire (Earth-9997),Acoustikinesis
Alison Blaire (Earth-TRN533),Acoustikinesis
Annie Stevenson (Earth-148611),Acoustikinesis
Auran (Earth-616),Acoustikinesis
Banshee (North Korean Mutate) (Earth-616),Acoustikinesis
Blackagar Boltagon (Clone) (Earth-295),Acoustikinesis
Blackagar Boltagon (Earth-11911),Acoustikinesis
Blackagar Boltagon (Earth-12131),Acoustikinesis
Blackagar Boltagon (Earth-1298),Acoustikinesis
Blackagar Boltagon (Earth-20051),Acoustikinesis
Blackagar Boltagon (Earth-231),Acoustikinesis
Blackagar Boltagon (Earth-42777),Acoustikinesis
Blackagar Boltagon (Earth-616),Acoustikinesis
Blackagar Boltagon (Earth-804),Acoustikinesis
Blackagar Boltagon (Earth-8101),Acoustikinesis
Blackagar Boltagon (Earth-8545),Acoustikinesis
Blackagar Boltagon (Earth-91126),Acoustikinesis
Blackagar Boltagon (Earth-976),Acoustikinesis
Blackagar Boltagon (Earth-9997),Acoustikinesis
Blackagar Boltagon (Skrull) (Earth-616),Acoustikinesis
Calvin Rankin (Earth-956),Acoustikinesis
Charles Weiderman (Earth-616),Acoustikinesis
Clark Kent (Earth-9602),Acoustikinesis
Clement Wilson (Earth-21993),Acoustikinesis
Clement Wilson (Earth-616),Acoustikinesis
Clown (Legion Personality) (Earth-616),Acoustikinesis
Colin McKay (Earth-616),Acoustikinesis
Composite (Earth-691),Acoustikinesis
Daisy Johnson (Earth-616),Acoustikinesis
David Angar (Earth-12131),Acoustikinesis
David Angar (Earth-616),Acoustikinesis
David Haller (Earth-616),Acoustikinesis
Dinah Barton (Earth-9602),Acoustikinesis
Dinah Soar (Earth-616),Acoustikinesis
Donna Diego (Earth-616),Acoustikinesis
Donner Kopf (Earth-148611),Acoustikinesis
Dynamic Man (Earth-616),Acoustikinesis
Frances Barrison (Earth-616),Acoustikinesis
Griffin Gogol (Earth-616),Acoustikinesis
Gustav Krueger (Earth-616),Acoustikinesis
Harley Davis (Earth-616),Acoustikinesis
Harold Stark (Earth-9602),Acoustikinesis
Hayes Isaacs (Earth-928),Acoustikinesis
Hooud (Earth-616),Acoustikinesis
Ian McNee (Earth-616),Acoustikinesis
Inhumans (Skrull) (Earth-616),Acoustikinesis
Jason Cragg (Earth-616),Acoustikinesis
Jeb Lee (Earth-616),Acoustikinesis
Jonothon Starsmore (Earth-616),Acoustikinesis
Joshua Guthrie (Earth-616),Acoustikinesis
Julio Mendoza (Earth-616),Acoustikinesis
Lani Ubanu (Earth-616),Acoustikinesis
Lillie McGurty (Earth-616),Acoustikinesis
Linda Lewis (Earth-1121),Acoustikinesis
Linda Lewis (Earth-13034),Acoustikinesis
Linda Lewis (Earth-523002),Acoustikinesis
Linda Lewis (Earth-712),Acoustikinesis
Linda Lewis (Zombie Clone) (Earth-616),Acoustikinesis
Madeline Lawrence (Earth-9602),Acoustikinesis
Magnitude (Earth-616),Acoustikinesis
Mandarin's Rings,Acoustikinesis
Mark Sheppard (Earth-616),Acoustikinesis
Melissa Gold (Earth-616),Acoustikinesis
Melissa Gold (Earth-98120),Acoustikinesis
Melissa Gold (Earth-9997),Acoustikinesis
Moira MacTaggert (Earth-1610),Acoustikinesis
Nattie (Earth-TRN376),Acoustikinesis
Pedro de Noli (Earth-616),Acoustikinesis
Phillip Urich (Earth-616),Acoustikinesis
Rachel Argosy (Earth-616),Acoustikinesis
Raoul Hernandez (Earth-616),Acoustikinesis
Reeva Payge (Earth-616),Acoustikinesis
Riot (Heavy Mettle) (Earth-616),Acoustikinesis
Roger Norvell (Earth-616),Acoustikinesis
Sean Cassidy (Earth-10005),Acoustikinesis
